iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.06459,0.717178,1.9976,0.698346,2.39549,28.9286,5.18519
1,300,2.00176,0.696844,2.00332,0.684727,2.37111,28.9039,10.3792
2,450,2.00582,0.69298,1.97192,0.673463,2.33289,28.9893,15.5229
3,600,2.00262,0.692153,2.00497,0.713251,2.42899,28.9712,20.7102
4,750,2.00144,0.680158,1.99666,0.687517,2.37336,28.8988,25.9526
5,900,2.00801,0.677728,2.00669,0.691169,2.38568,28.8603,31.1848
6,1050,2.00535,0.68021,1.97529,0.696674,2.38099,28.9239,36.3022
7,1200,2.00496,0.672668,2.00555,0.672128,2.34703,28.9611,41.4349
8,1350,2.00168,0.665493,2.01425,0.664828,2.33678,28.9906,46.5667
9,1500,1.99897,0.66525,2.00249,0.647625,2.29649,29.002,51.7206
