iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.78356,0.699191,2.40839,0.699982,2.60416,50.7698,2.95451
1,300,2.30306,0.669778,2.22774,0.664876,2.44362,50.7654,5.90954
2,450,2.16597,0.635171,2.10029,0.63021,2.31057,50.732,8.87014
3,600,2.10953,0.59136,2.10821,0.587297,2.2287,50.7401,11.825
4,750,2.08969,0.535352,2.07907,0.580195,2.19993,50.7629,14.7746
5,900,2.07955,0.485371,2.08113,0.537075,2.11472,50.7661,17.7284
6,1050,2.06822,0.434061,2.04673,0.515288,2.05394,50.769,20.6819
7,1200,2.05828,0.390864,2.06532,0.447721,1.9281,50.7264,23.6563
8,1350,2.04422,0.34699,2.06869,0.406298,1.84694,50.7209,26.6162
9,1500,2.03766,0.318392,2.0495,0.409313,1.84338,50.7256,29.5709
