iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.77571,0.701081,2.38338,0.696282,2.58425,92.8402,1.61568
1,300,2.25279,0.680151,2.16874,0.676104,2.43658,92.2532,3.25192
2,450,2.12502,0.655215,2.08371,0.658635,2.35913,92.1648,4.88256
3,600,2.08275,0.626564,2.08603,0.636206,2.31543,92.1178,6.5134
4,750,2.07017,0.581362,2.06927,0.597935,2.23051,91.8589,8.16469
5,900,2.06827,0.531406,2.0781,0.589638,2.21833,92.0068,9.78189
6,1050,2.06077,0.493084,2.042,0.569869,2.16074,92.2345,11.384
7,1200,2.05535,0.448462,2.07266,0.480048,1.99643,92.2228,13.012
8,1350,2.04998,0.402186,2.07274,0.452692,1.94175,92.3981,14.6107
9,1500,2.04419,0.364479,2.06071,0.422262,1.87488,92.5297,16.211
