game,opening,x,o,winner,AZ-SelfPlay(cnn_c128b3_100k_reg_best)_wins,Gumbel-SelfPlay(cnn_c128b3_100k_reg_best)_wins,draws,AZ-SelfPlay(cnn_c128b3_100k_reg_best)_ms_per_move,Gumbel-SelfPlay(cnn_c128b3_100k_reg_best)_ms_per_move
1,"(1,5)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,1,0,14.44,172.49
2,"(1,5)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,2,0,11.99,166.29
3,"(0,3)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,3,0,11.56,164.82
4,"(0,3)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,4,0,11.6,161.07
5,"(3,8)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,5,0,11.91,162.34
6,"(3,8)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,6,0,12.01,162.22
7,"(3,4)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,7,0,12.57,162.73
8,"(3,4)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,8,0,12.72,162.46
9,"(3,1)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,9,0,12.89,166.16
10,"(3,1)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,10,0,12.95,167.52
11,"(1,8)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,11,0,12.96,167.45
12,"(1,8)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,12,0,12.9,166.38
13,"(1,4)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,13,0,12.91,165.3
14,"(1,4)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),1,13,0,12.86,163.29
15,"(7,6)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,14,0,12.79,162.26
16,"(7,6)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),2,14,0,12.72,160.49
17,"(1,2)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Draw,2,14,1,12.95,160.04
18,"(1,2)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,15,1,12.94,160.07
19,"(8,3)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,16,1,12.9,160.23
20,"(8,3)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),2,17,1,12.91,160.27
