iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.96932,0.696869,2.46961,0.682003,2.59881,53.9002,2.78292
1,300,2.35432,0.667146,2.30419,0.665165,2.48242,53.6898,5.58765
2,450,2.22639,0.624644,2.15754,0.640462,2.35969,53.8009,8.36417
3,600,2.15326,0.582051,2.16418,0.59719,2.27647,53.8494,11.1422
4,750,2.11978,0.514461,2.11976,0.55742,2.17472,53.8748,13.9212
5,900,2.10548,0.454054,2.10869,0.497261,2.04887,53.8835,16.7027
6,1050,2.08794,0.399081,2.07414,0.466112,1.9693,53.841,19.5019
7,1200,2.07779,0.357379,2.09349,0.416548,1.87984,53.8212,22.296
8,1350,2.068,0.315854,2.09514,0.372295,1.79216,53.8257,25.081
9,1500,2.05754,0.281012,2.07387,0.347981,1.7329,53.8387,27.861
