iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.03618,0.82384,1.99738,0.709679,2.41805,17.9447,8.35902
1,300,2.00063,0.70048,2.00194,0.690503,2.38198,17.9291,16.7326
2,450,2.00445,0.69688,1.97077,0.678867,2.34312,17.9335,25.0927
3,600,2.0013,0.697012,2.00412,0.697907,2.39787,17.929,33.4654
4,750,2.00083,0.685744,1.99622,0.681636,2.36138,17.948,41.7874
5,900,2.00781,0.684054,2.00664,0.696883,2.39708,17.9532,50.1305
6,1050,2.00532,0.691781,1.97542,0.71035,2.40841,17.9646,58.4484
7,1200,2.00501,0.682646,2.00595,0.679734,2.36244,17.9663,66.7918
8,1350,2.00173,0.679088,2.01345,0.673187,2.3531,17.9667,75.1388
9,1500,1.99918,0.678726,2.00354,0.661858,2.32549,17.9726,83.4602
