iter,step,train_policy_loss,train_value_loss,val_policy_loss,val_value_loss,val_total_loss,steps_per_s,elapsed_s
0,150,2.03633,0.804948,1.9967,0.70528,2.40891,10.0695,14.8964
1,300,2.00007,0.700273,2.00207,0.691302,2.38364,9.59717,31.2592
2,450,2.00408,0.695755,1.96927,0.675301,2.33524,9.3551,48.1021
3,600,2.00095,0.69544,2.00419,0.693728,2.38955,9.23702,64.956
4,750,2.0004,0.682272,1.9961,0.682934,2.36392,9.16698,81.8153
5,900,2.00738,0.679205,2.00581,0.693685,2.39027,9.11759,98.7103
6,1050,2.0047,0.687447,1.97522,0.702524,2.39266,9.08701,115.55
7,1200,2.00459,0.676765,2.00684,0.671574,2.34657,9.19638,130.486
8,1350,2.00139,0.670068,2.0142,0.662639,2.33238,9.31428,144.939
9,1500,1.99864,0.668583,2.00305,0.644409,2.29034,9.43676,158.953
