game,opening,x,o,winner,AZ-SelfPlay(cnn_c128b3_100k_reg_best)_wins,Gumbel-SelfPlay(cnn_c128b3_100k_reg_best)_wins,draws,AZ-SelfPlay(cnn_c128b3_100k_reg_best)_ms_per_move,Gumbel-SelfPlay(cnn_c128b3_100k_reg_best)_ms_per_move
1,"(1,5)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),0,1,0,23.97,355.06
2,"(1,5)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),1,1,0,29.2,400.07
3,"(0,3)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Draw,1,1,1,28.53,385.45
4,"(0,3)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Draw,1,1,2,28.02,359.43
5,"(3,8)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,2,2,27.23,353.32
6,"(3,8)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,3,2,27.2,350.1
7,"(3,4)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,4,2,27.09,348.5
8,"(3,4)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,5,2,27.04,343.77
9,"(3,1)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,6,2,26.52,338.82
10,"(3,1)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,7,2,26.26,337.62
11,"(1,8)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,8,2,26.01,335.48
12,"(1,8)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,9,2,25.87,331.5
13,"(1,4)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,10,2,25.63,329.9
14,"(1,4)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,11,2,25.51,327.92
15,"(7,6)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,12,2,25.12,323.6
16,"(7,6)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,13,2,24.99,323.13
17,"(1,2)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,14,2,24.92,322.47
18,"(1,2)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,15,2,24.79,321.77
19,"(8,3)",AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,16,2,24.68,321.3
20,"(8,3)",Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),AZ-SelfPlay(cnn_c128b3_100k_reg_best),Gumbel-SelfPlay(cnn_c128b3_100k_reg_best),1,17,2,24.59,320.79
